"","Family","Species_name","Genus","F_mass","M_mass","F_tail","M_tail","Clutch_size","Mating_System","Display","Resource"
"198","14","Anas platalea","Anas",523,608,NA,NA,NA,NA,NA,NA
"199","14","Anas platyrhynchos","Anas",1113,1210,84.5,85.8,10.53,"2","3","1"
"200","14","Anas poecilorhyncha","Anas",1025,1365,NA,NA,NA,NA,NA,NA
"201","14","Anas querquedula","Anas",310,342,62.6,66.1,8.5,NA,NA,NA
"202","14","Anas rhynchotis","Anas",665,667,76.2,78.6,10,"2","3",NA
"203","14","Anas rubripes","Anas",1111,1252,NA,NA,9.33,"2","2","1"
"204","14","Anas sibilatrix","Anas",828,939,NA,NA,NA,NA,NA,NA
"205","14","Anas smithii","Anas",597,688,69.9,76.4,9.36,NA,NA,NA
"206","14","Anas sparsa","Anas",914,1086,93,110,NA,NA,NA,NA
"207","14","Anas specularis","Anas",1531,1460,NA,NA,NA,NA,NA,NA
"208","14","Anas strepera","Anas",849,990,80.2,86,9.96,NA,"1","1"
"209","14","Anas superciliosa","Anas",1013,1059,85.8,88,11,"2","2","0"
"210","14","Anas undulata","Anas",817,954,97,100,7.8,NA,NA,NA
"211","14","Anas versicolor","Anas",373,442,NA,NA,NA,NA,NA,NA
"212","14","Anas wyvilliana","Anas",585,644,NA,NA,8.3,NA,NA,NA
"213","96","Anastomus lamelligerus","Anastomus",1000,1250,NA,NA,2.6,NA,NA,NA
"214","136","Andropadus ansorgei","Andropadus",18.2,17.9,NA,NA,NA,NA,NA,NA
"215","136","Andropadus curvirostris","Andropadus",25,25,NA,NA,NA,NA,NA,NA
"216","136","Andropadus gracilirostris","Andropadus",31.8,30.7,NA,NA,NA,NA,NA,NA
"217","136","Andropadus gracilis","Andropadus",22.4,20.9,NA,NA,NA,NA,NA,NA
"218","136","Andropadus importunus","Andropadus",25.5,27.3,NA,NA,NA,NA,NA,NA
"219","136","Andropadus latirostris","Andropadus",25.1,27.9,NA,NA,NA,NA,NA,NA
"220","136","Andropadus masukuensis","Andropadus",29,29.3,NA,NA,NA,NA,NA,NA
"221","136","Andropadus milanjensis","Andropadus",39.8,45.1,NA,NA,NA,NA,NA,NA
"222","136","Andropadus montanus","Andropadus",30,32.2,NA,NA,NA,NA,NA,NA
"223","136","Andropadus tephrolaemus","Andropadus",30.3,33.1,NA,NA,NA,NA,NA,NA
"224","136","Andropadus virens","Andropadus",26.2,28.5,NA,NA,NA,NA,NA,NA
"225","89","Anhinga anhinga","Anhinga",NA,NA,245.6,245.3,3.64,NA,"3","1"
"226","89","Anhinga melanogaster","Anhinga",1790,1759,239,238,4,"2",NA,NA
"227","146","Anisognathus igniventris","Anisognathus",33,34,NA,NA,NA,"2",NA,NA
"228","145","Anomalospiza imberbis","Anomalospiza",NA,17.4,37.5,38.7,2.9,NA,"1","1"
"229","82","Anous minutus","Anous",97.5,NA,115.3,120.1,1,"2","3","0"
"230","82","Anous stolidus","Anous",172.3,196.4,40.8,41.9,1,"2","4","0"
"231","82","Anous tenuirostris","Anous",114,92,110.4,110.3,1,NA,"5","0"
"232","14","Anser albifrons","Anser",2508,2853,113,119,5.5,"2",NA,"2"
"233","14","Anser anser","Anser",3237,3692,129,139,NA,"2",NA,NA
"234","14","Anser brachyrhynchus","Anser",2520,2770,127,135,4.4,NA,NA,NA
"235","14","Anser caerulescens","Anser",2517,2744,NA,NA,NA,"2",NA,NA
"236","14","Anser canagica","Anser",2766,2812,NA,NA,NA,NA,NA,NA
"237","14","Anser cygnoides","Anser",3150,3500,NA,NA,NA,NA,NA,NA
"238","14","Anser erythropus","Anser",1725,1870,129,139,5.83,NA,NA,NA
"239","14","Anser fabalis","Anser",2843,3198,132,132,5,NA,NA,NA
"240","14","Anser indicus","Anser",2230,2505,NA,NA,NA,NA,NA,NA
"241","14","Anser rossii","Anser",1500,1679,NA,NA,NA,NA,NA,NA
"242","12","Anseranas semipalmata","Anseranas",2071,2766,NA,NA,9.05,"2","1",NA
"243","115","Anthochaera carunculata","Anthochaera",98.7,114.1,151.9,163,2,"2","3","1"
"244","115","Anthochaera chrysoptera","Anthochaera",59.7,77,131.9,140.9,2,"2","2","1"
"245","115","Anthochaera lunulata","Anthochaera",53.7,71.2,125.3,145.1,1,NA,"1","1"
"246","115","Anthochaera paradoxa","Anthochaera",123.3,168.5,247,261,2.5,"2","1","1"
"247","115","Anthornis melanura","Anthornis",23.6,30.7,68.4,81.5,3.11,"2","4","2"
"248","132","Anthoscopus caroli","Anthoscopus",NA,NA,30.1,29.7,4.4,NA,NA,NA
"249","132","Anthoscopus flavifrons","Anthoscopus",NA,NA,28,28.8,NA,NA,NA,NA
"250","132","Anthoscopus minutus","Anthoscopus",NA,NA,34.4,33.8,4.9,NA,"4",NA
"251","132","Anthoscopus musculus","Anthoscopus",NA,NA,25.9,27.1,4,NA,NA,"1"
"252","132","Anthoscopus parvulus","Anthoscopus",NA,NA,28,28,2,NA,NA,"1"
"253","132","Anthoscopus punctifrons","Anthoscopus",NA,NA,29,28.7,NA,NA,NA,NA
"254","48","Anthracothorax nigricollis","Anthracothorax",6.6,7.6,NA,NA,NA,NA,NA,NA
